품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
247958,트레이더스,N.Z 키위 골드,26과,골드,캡,26 캡 10,4,2.2,재고 843,384,3425,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,1536.0,,
247958,트레이더스,N.Z 키위 골드,26과,골드,캡,26 캡 10,4,2.2,일요일 예비,990,8831,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,2124.0,24.0,88.5
2485024,노브랜드,N.Z 키위 골드,31과,골드,팩,31 팩 6,4,1.1,,80,358,2087685951252,제스프리 골드키위 자이언트점보 6입,,,,,,,320.0,24.0,13.333333333333334
248493,홈플러스슈퍼,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,일요일 예상,4,15,8809048476363,,,,,,,,16.0,15.0,1.0666666666666669
248370,노브랜드,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,23,86,2000001241097,제스프리골드키위(팩)JUMBO,,,,,,,92.0,24.0,3.8333333333333335
248662,이마트,N.Z 키위 골드 유기농,37과,골드유기농,캡,유) 37 팩 2,10,0.3,,2,6,2500000286278,유기농 제스프리 킹골드키위 (2입),,,,,,,20.0,24.0,0.8333333333333334
248662,이마트,N.Z 키위 골드 유기농,37과,골드유기농,캡,유) 37 팩 2,10,0.3,일요일 예비,13,40,2500000286278,유기농 제스프리 킹골드키위 (2입),,,,,,,,,
248673,롯데마트,N.Z 키위 골드 유기농,44과,골드유기농,팩,유) 44 팩 4,8,0.5,,3,13,430001117818,제스프리유기농골드키위(4-5입/팩),,,,,,,24.0,24.0,1.0
248650,이마트,N.Z 키위 골드 유기농,44과,골드유기농,팩,유) 44 팩 4,10,0.5,,4,21,1500000039769,유기농 제스프리 썬골드키위(팩),,,,,,,40.0,24.0,1.6666666666666667
248650,이마트,N.Z 키위 골드 유기농,44과,골드유기농,팩,유) 44 팩 4,10,0.5,일요일 예비,12,64,1500000039769,유기농 제스프리 썬골드키위(팩),,,,,,,,,
248649,에브리데이,N.Z 키위 골드 유기농,44과,골드,팩,유) 44 팩 4,6,0.5,,2,6,1500000039769,(JN)유기농골드키위(4입/팩),,,,,,,12.0,24.0,0.5
248109,이마트,N.Z 키위 골드,44과,골드,캡,44 캡 9,8,1.2,재고 7,33,314,2500000070020,제스프리 썬골드키위/팩,,,,,,,264.0,24.0,11.0
248109,이마트,N.Z 키위 골드,44과,골드,캡,44 캡 9,8,1.2,일요일 예비,85,809,2500000070020,제스프리 썬골드키위/팩,,,,,,,,,
247924,홈플러스마트,N.Z 키위 골드,44과,골드,소박스,44 소박스 12,1,1.5,"재고 65, 품위확인",163,249,8809048475830,제스프리_썬골드키위_12-16입(박스),,,,,,,98.0,20.0,4.9
247924,홈플러스마트,N.Z 키위 골드,44과,골드,소박스,44 소박스 12,1,1.5,일요일 예상,109,167,8809048475830,,,,,,,,109.0,15.0,7.266666666666667
247924,홈플러스슈퍼,N.Z 키위 골드,44과,골드,소박스,44 소박스 12,1,1.5,,1,2,8809048475830,제스프리_썬골드키위_12-16입(박스),,,,,,,1.0,20.0,0.05
248136,에브리데이,N.Z 키위 골드,48과,골드,캡,48 캡 7,6,0.9,,1,5,2500000216244,(NZ)골드키위(팩),,,,,,,6.0,24.0,0.25
2485018,홈플러스마트,N.Z 키위 골드,48과,골드,캡,48 캡 7,8,0.9,,29,197,8809048473256,제스프리_썬골드키위_7-12입(팩),,,,,,,232.0,24.0,9.666666666666666
2485018,홈플러스마트,N.Z 키위 골드,48과,골드,캡,48 캡 7,8,0.9,일요일 예상,123,836,8809048473256,,,,,,,,984.0,15.0,65.6
248492,홈플러스슈퍼,N.Z 키위 골드,48과,골드,캡,48 캡 7,6,0.9,,8,41,8801483116101,제스프리썬골드키위_7-10입(팩),,,,,,,48.0,24.0,2.0
248492,홈플러스슈퍼,N.Z 키위 골드,48과,골드,캡,48 캡 7,6,0.9,일요일 예상,442,2254,8801483116101,,,,,,,,2652.0,15.0,176.8
248389,이마트,N.Z 키위 골드,59과,골드,봉지,59 봉 2,10,0.2,,3,6,2500000224164,제스프리 썬골드키위 2입/봉,,,,,,,30.0,24.0,1.25
248389,이마트,N.Z 키위 골드,59과,골드,봉지,59 봉 2,10,0.2,일요일 예비,14,28,2500000224164,제스프리 썬골드키위 2입/봉,,,,,,,,,
277511,엠패스트,레몬,115과,미국,벌크,115과 벌크,1,17.0,일요일 예비,1,17,5014414,레몬 115과_미국산,,,,,,,1.0,1.0,1.0
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,5,7,8801483219314,미국산레몬2입/봉,,,,,,,30.0,12.0,2.5
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,일요일 예비,11,16,8801483219314,미국산레몬2입/봉,,,,,,,66.0,12.0,5.5
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 111,49,653,2500000191046,미국산 레몬 2.1kg/봉,,,,,,,294.0,8.0,
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,일요일 예비,137,1825,2500000191046,미국산 레몬 2.1kg/봉,,,,,,,450.0,8.0,56.25
