품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
248109,이마트,N.Z 키위 골드,44과,골드,캡,44 캡 9,8,1.2,예비 737,931,8863,2500000070020,제스프리 썬골드키위/팩,,,,,,,1552.0,30.0,51.73333333333333
2485018,홈플러스마트,N.Z 키위 골드,48과,골드,캡,48 캡 7,8,0.9,,53,360,8809048473256,제스프리_썬골드키위_7-12입(팩),,,,,,,424.0,30.0,14.133333333333333
2485005,홈플러스마트,N.Z 키위 골드,52과,골드,소박스,52 소박스 14,1,1.6,,84,131,8809048475830,제스프리_썬골드키위_12-16입(박스),,,,,,,84.0,20.0,4.2
248496,홈플러스슈퍼,N.Z 키위 골드,52과,골드,캡,52 캡 8,6,0.9,,38,203,8801483116101,제스프리썬골드키위_7-10입(팩),,,,,,,228.0,30.0,7.6
2485005,홈플러스슈퍼,N.Z 키위 골드,52과,골드,소박스,52 소박스 14,1,1.6,,2,3,8809048475830,제스프리_썬골드키위_12-16입(박스),,,,,,,2.0,20.0,0.1
248328,홈플러스마트,N.Z 키위 골드,31과,골드,벌크,31과 벌크,1,5.8,무선별,28,162,1234562306990,제스프리_왕점보골드키위_개,,,,,,,,,
248493,홈플러스슈퍼,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,4,15,8809048476363,제스프리_킹점보썬골드키위_5-6입(팩),,,,,,,16.0,30.0,0.5333333333333333
241944,롯데슈퍼,N.Z 키위 그린,93과,그린,캡,93 캡 8,4,0.8,,6,20,8801483848057,제스프리그린키위7~10입/팩,,,,,,,24.0,25.0,0.96
241937,엠패스트,N.Z 키위 그린,93과,그린,캡,93 캡 10,8,1.1,,2,17,5014209,제스프리 뉴질랜드 그린키위(7~13입),,,,,,,16.0,25.0,0.64
241677,이마트,N.Z 키위 그린,78과,그린,캡,78 캡 9,8,1.2,,78,718,2500000070013,제스프리그린키위/팩,,,,,,,624.0,25.0,24.96
