품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
248235,트레이더스,N.Z 키위 골드,41과,골드,캡,41 캡 15,4,2.1,재고 157,384,3256,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,908.0,24.0,37.833333333333336
248104,이마트,N.Z 키위 골드,52과,골드,캡,52 캡 11,8,1.2,,769,7567,2500000070020,제스프리 썬골드키위/팩,,,,,,,6152.0,24.0,256.3333333333333
112153,롯데마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,51,408,8801483775322,햇밤고구마(1kg/봉),,,,,,,408.0,12.0,34.0
112155,롯데슈퍼,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,11,88,8801483775322,고구마1KG,,,,,,,88.0,12.0,7.333333333333333
112149,이마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,12,1.0,,9,108,2500000274824,밤고구마(1kg/봉),,,,,,,108.0,12.0,9.0
112115,홈플러스마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,19,152,8809172890042,고구마_1KG(봉),,,,,,,152.0,12.0,12.666666666666666
112056,롯데마트,일반 고구마(하계),중,국내산,봉지,중 봉지 700g,10,0.7,,6,42,400312650007,한입밤고구마(700g/봉),,,,,,,60.0,12.0,5.0
112148,이마트,일반 고구마(하계),중,국내산,봉지,중 봉지 1kg,12,1.0,,33,396,2500000291326,(햇)한입 밤고구마(1kg/봉),,,,,,,396.0,12.0,33.0
112145,홈플러스마트,일반 고구마(하계),중,국내산,봉지,중 봉지 1kg,8,1.0,,12,96,8807839013162,한입고구마_1KG(봉),,,,,,,96.0,12.0,8.0
112066,롯데슈퍼,일반 고구마(하계),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,25,38,8801483775346,고구마/BOX,,,,,,,25.0,12.0,2.083333333333333
105170,롯데마트,호박 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,19,152,8801483775339,햇호박고구마(1kg/봉),,,,,,,152.0,12.0,12.666666666666666
108092,롯데슈퍼,호박 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,6,48,8801483775339,호박고구마1KG,,,,,,,48.0,12.0,4.0
108056,홈플러스마트,호박 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,17,136,8809172890059,호박고구마_1KG봉,,,,,,,136.0,12.0,11.333333333333334
108063,홈플러스슈퍼,호박 고구마(하계),상,국내산,봉지,상 봉지 700g,10,0.7,,4,28,9988,호박고구마_700G(봉),,,,,,,40.0,12.0,3.333333333333333
108006,롯데마트,호박 고구마(하계),중,,봉지,중 봉지 0.7kg,8,0.7,,6,34,400267040007,한입호박고구마(700g/봉),,,,,,,48.0,12.0,4.0
