품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
231612,이마트,참다래 그린,105과,국내산,캡,105 캡 11,8,1.1,,25,210,2507281010738,제주그린키위 8~12입팩,,,,,,,200.0,12.0,16.666666666666668
231851,에브리데이,참다래 그린,115과,국내산,캡,115 캡 10,6,0.9,,36,188,2500000206955,제주참다래(팩),,,,,,,216.0,12.0,18.0
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,재고 2,11,99,8809919990035,국산_그린키위_9-13입(팩),,,,,,,88.0,12.0,7.333333333333333
231572,홈플러스슈퍼,참다래 그린,115과,국내산,캡,115 캡 10,5,0.9,재고 3,69,300,8809144993078,국산그린키위_9-13입(팩),,,,,,,345.0,12.0,28.75
231985,트레이더스,참다래 그린,87과,국내산,캡,87 캡 19,4,2.2,,67,584,2500000113000,제주 그린키위 2.2kg(팩),,,,,,,268.0,12.0,22.33333333333333
272098,홈플러스슈퍼,오렌지,56과,미국,벌크,56과 벌크,1,18.0,재고 4,24,432,4841,세콰이아오렌지(왕특)_개(미국산),,,,,,,24.0,1.5,16.0
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,고당도,135,608,2500000276149,당도선별 오렌지 4.5kg/박스,,,,,,,135.0,9.0,15.0
272242,트레이더스,오렌지,88과,미국,소벌크,88 소박스 30,1,6.136363636363638,재고 49,60,360,2500000206009,세콰이어 오렌지 6kg/박스,,,,,,,11.0,9.0,1.2222222222222223
272285,노브랜드,오렌지,88과,미국,봉지,88 봉지 13,3,2.7,,74,593,2000001440384,네이블오렌지 기획(봉),,,,,,,222.0,9.0,24.666666666666668
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,24,35,8801483219314,미국산레몬2입/봉,,,,,,,144.0,12.0,12.0
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 1,103,1372,2500000191046,미국산 레몬 15-19입/봉,,,,,,,618.0,8.0,77.25
296953,트레이더스,자몽,45과,이스라엘,소박스,45 소박스 11,1,4.1,,228,937,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,228.0,8.0,28.5
297470,트레이더스,아보카도,24과,페루,봉지,24 봉 8,6,1.8,재고 4,42,461,2500000284892,페루산 아보카도 7-9입,,,,,,,252.0,8.0,31.5
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,11,17,8801483021351,멕시코라임3입/팩,,,,,,,66.0,15.0,4.4
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,16,43,2609960000006,멕시코라임(벌크),,,,,,,16.0,15.0,1.0666666666666669
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,5,5,8801483021351,멕시코산라임3입/팩,,,,,,,20.0,15.0,1.3333333333333333
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,7,7,2500000091933,라임(3입/팩),,,,,,,28.0,15.0,1.8666666666666667
279160,트레이더스,라임,200과,멕시코,봉지,200 봉 12,8,1.1,,13,109,2500000261244,멕시코산 라임 1kg(봉),,,,,,,104.0,15.0,6.933333333333334
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,재고 2,6,5,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,18.0,15.0,1.2
111172,홈플러스마트,일반 고구마(저장),특,국내산,봉지,특 봉지 2kg,6,2.0,재고 8,87,1044,8809172891223,꿀고구마_2KG(봉),,,,,,,522.0,8.0,65.25
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,33,50,400331700004,밤고구마(1.5KG/박스),,,,,,,33.0,12.0,2.75
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,4,6,2270140000002,고구마/BOX,,,,,,,4.0,12.0,0.3333333333333333
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,10,20,2500000076213,밤고구마(2kg/박스),,,,,,,10.0,12.0,0.8333333333333334
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,재고 1,5,48,8809172890042,꿀고구마_1KG(봉),,,,,,,40.0,12.0,3.333333333333333
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,8,64,430001161293,밤고구마(1kg/봉),,,,,,,64.0,12.0,5.333333333333333
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,10,70,2759600000009,밤고구마/700g/봉,,,,,,,100.0,12.0,8.333333333333334
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,재고 11,21,312,2500000274824,밤고구마(1kg/봉),,,,,,,252.0,12.0,21.0
111243,홈플러스마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,8,1.0,,18,120,8807839013162,한입고구마_1KG(봉),,,,,,,144.0,12.0,12.0
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,재고 3,7,84,2500000291326,한입 밤고구마(1kg/봉),,,,,,,84.0,12.0,7.0
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,7,84,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,84.0,12.0,7.0
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,11,77,2759610000006,호박고구마700G/봉,,,,,,,110.0,12.0,9.166666666666666
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,재고 2,12,96,8809172890059,호박고구마_1KG봉,,,,,,,96.0,12.0,8.0
108042,롯데마트,호박 고구마(저장),특,국내산,봉지,특 봉지 1kg,8,1.0,,22,176,430001162412,호박고구마(1kg/봉),,,,,,,176.0,12.0,14.666666666666666
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,10,120,2500000274831,호박고구마(1kg/봉),,,,,,,120.0,12.0,10.0
