품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
261541,노브랜드,제주골드,37과,제주골드,캡,37 캡 5,4.0,0.8,,14.0,44.0,2000000596228.0,제주 골드키위(팩),,,,,,,56.0,22.0,2.5454545454545454
261614,엠패스트,제주골드,48과,제주골드,캡,48 캡 7,6.0,0.9,,2.0,10.0,8801483003760.0,제스프리 제주골드키위 팩,,,,,,,12.0,22.0,0.5454545454545454
261626,트레이더스,제주골드,48과,제주골드,캡,48 캡 12,6.0,1.5,재고 364,18.0,157.0,2500000113017.0,제스프리 제주골드키위 1.3kg/팩,,,,,,,108.0,22.0,
261624,에브리데이,제주골드,59과,제주골드,팩,59 캡 8,6.0,0.8,,14.0,66.0,2500000206320.0,제주 골드키위(팩),,,,,,,84.0,22.0,3.8181818181818175
261625,롯데슈퍼,제주골드,59과,제주골드,팩,59 캡 8,6.0,0.8,,11.0,51.0,8801483003760.0,제스프리제주골드키위7~10입/팩,,,,,,,66.0,22.0,3.0
261534,홈플러스마트,제주골드,59과,제주골드,캡,59 캡 9,8.0,0.9,,11.0,77.0,8809048474482.0,제스프리_골드키위(제주)_7-10입(팩),,,,,,,88.0,22.0,4.0
261540,홈플러스슈퍼,제주골드,59과,제주골드,팩,59 캡 8,6.0,0.8,,22.0,103.0,8801483023577.0,제주골드키위_7-9입_(팩),,,,,,,132.0,22.0,6.0
241931,노브랜드,N.Z 키위 그린,65과,그린,팩,65 팩 6,6.0,0.9,,21.0,116.0,2000001440438.0,제스프리 그린키위(팩)jumbo,,,,,,,126.0,20.0,6.3
241831,트레이더스,N.Z 키위 그린,72과,그린,캡,72 캡 18,4.0,2.5,재고 320,28.0,280.0,2500000282652.0,뉴질랜드 제스프리 그린키위 2.4kg,,,,,,,112.0,20.0,
244022,홈플러스슈퍼,N.Z 키위 그린,85과,그린,캡,85 캡 8,4.0,0.9,,19.0,71.0,8801483775094.0,제스프리그린키위_7-11입(팩),,,,,,,76.0,20.0,3.8
244021,홈플러스마트,N.Z 키위 그린,85과,그린,캡,85 캡 9,8.0,1.1,,22.0,187.0,8809048476677.0,제스프리_그린키위_8-14입(팩),,,,,,,176.0,20.0,8.8
241944,롯데슈퍼,N.Z 키위 그린,85과,그린,캡,85 캡 7,4.0,0.8,,19.0,62.0,8801483848057.0,제스프리그린키위7~10입/팩,,,,,,,76.0,20.0,3.8
241768,에브리데이,N.Z 키위 그린,85과,그린,캡,85 캡 7,6.0,0.8,,15.0,74.0,2500000217388.0,그린키위 (팩),,,,,,,90.0,20.0,4.5
241347,이마트,N.Z 키위 그린,85과,그린,캡,85 캡 10,8.0,1.2,재고 3,87.0,821.0,2500000070013.0,제스프리그린키위/팩,,,,,,,696.0,20.0,34.8
234291,롯데마트,참다래 레드,115과,국내산,캡,115 캡 10,8.0,0.9,,6.0,42.0,8801482368525.0,국산레드키위,,,,,,,48.0,15.0,3.2
234336,롯데슈퍼,참다래 레드,115과,국내산,캡,115 캡 10,5.0,0.9,,7.0,30.0,8801482368525.0,제주레드키위9-13입/팩,,,,,,,35.0,15.0,2.333333333333333
234271,홈플러스마트,참다래 레드,135과,국내산,캡,135 캡 12,6.0,0.9,,28.0,150.0,8801483632656.0,잘익은_고당도레드키위_8-13입(팩),,,,,,,168.0,15.0,11.2
234279,에브리데이,참다래 레드,135과,국내산,캡,135 캡 12,6.0,0.9,,3.0,16.0,8801483632656.0,레드키위(팩),,,,,,,18.0,15.0,1.2
234335,엠패스트,참다래 레드,135과,국내산,캡,135 캡 12,6.0,0.9,,4.0,22.0,8801483632656.0,레드키위(팩)_국내산,,,,,,,24.0,15.0,1.6
234299,홈플러스슈퍼,참다래 레드,135과,국내산,캡,135 캡 12,4.0,0.9,,17.0,61.0,8801483632656.0,잘익은_고당도레드키위_8-13입(팩),,,,,,,68.0,15.0,4.533333333333333
234136,이마트,참다래 레드,95과,국내산,캡,95 캡 8,8.0,0.8,재고 1,31.0,208.0,2500000142369.0,제주 레드키위 6-11입/팩,,,,,,,248.0,15.0,16.533333333333335
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12.0,1.0,,2.0,24.0,2500000274824.0,밤고구마(1kg/봉),,,,,,,24.0,11.0,2.1818181818181817
111253,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,8.0,64.0,8801483775322.0,고구마1KG,,,,,,,64.0,11.0,5.818181818181818
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,22.0,176.0,8801483775322.0,햇밤고구마(1kg/봉),,,,,,,176.0,11.0,16.0
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,11.0,88.0,8809172890042.0,고구마_1KG(봉),,,,,,,88.0,11.0,8.0
111086,롯데마트,일반 고구마(저장),중,국내산,봉지,중 봉지 700g,10.0,0.7,,3.0,21.0,400312650007.0,한입밤고구마(700g/봉),,,,,,,30.0,11.0,2.727272727272727
111243,홈플러스마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,8.0,1.0,,7.0,56.0,8807839013162.0,한입고구마_1KG(봉),,,,,,,56.0,11.0,5.090909090909091
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1.0,2.0,,104.0,208.0,8809048243248.0,해남땅끝고구마_2KG(박스),,,,,,,104.0,11.0,9.454545454545457
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,13.0,104.0,8809172890059.0,호박고구마_1KG봉,,,,,,,104.0,11.0,9.454545454545457
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,3.0,24.0,8801483775339.0,호박고구마1KG,,,,,,,24.0,11.0,2.1818181818181817
1050021,롯데마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,10.0,80.0,8801483775339.0,햇호박고구마(1kg/봉),,,,,,,80.0,11.0,7.272727272727272
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12.0,1.0,,40.0,480.0,2500000274831.0,호박고구마(1kg/봉),,,,,,,480.0,11.0,43.63636363636363
105075,롯데마트,호박 고구마(저장),중,국내산,봉지,중 봉지 700g,8.0,0.7,,6.0,34.0,400267040007.0,한입호박고구마(700g/봉),,,,,,,48.0,11.0,4.363636363636363
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12.0,1.0,,2.0,24.0,2500000291333.0,한입 호박 고구마(1kg/봉),,,,,,,24.0,11.0,2.1818181818181817
111251,"고대중 사장님 고구마 작업 (밤 봉지비품 특,상 5kg 전량)",,,,,,,,,,,,,,,,,,,,,
277011,엠패스트,레몬,115과,칠레,벌크,115 벌크,1.0,17.0,,2.0,34.0,5010530.0,레몬115_칠레,,,,,,,2.0,1.0,2.0
277096,트레이더스,레몬,140과,칠레,봉지,140 봉 18,6.0,2.2,재고 121,40.0,526.0,2500000191077.0,칠레산 레몬 2.1kg/봉,,,,,,,240.0,15.0,
277127,롯데슈퍼,레몬,140과,칠레,KCP,140 SB 15,1.0,1.8,,1.0,2.0,2445210000002.0,칠레산레몬/개,,,,,,,1.0,10.0,0.1
293078,트레이더스,멜로골드,27과,미국,소박스,27 소박스 8,1.0,4.7,재고 605,5.0,24.0,2500000110597.0,미국산 메로골드자몽 7-9입/박스,,,,,,,5.0,15.0,
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1.0,5.0,,15.0,75.0,2230840000009.0,미국산메로골드특대/개,,,,,,,15.0,10.0,1.5
293270,이마트,멜로골드,36과,미국,봉지,36 봉지 4,6.0,1.8,재고 2,32.0,342.0,2500000050503.0,미국산 멜로골드자몽 4~5입/봉,,,,,,,192.0,10.0,19.2
297249,트레이더스,아보카도,24과,뉴질랜드,봉지,24 봉 8,6.0,1.8,재고 34,20.0,220.0,2500000298707.0,뉴질랜드산 아보카도 7-9입,,,,,,,120.0,15.0,
297252,에브리데이,아보카도,30과,뉴질랜드,캡,30 캡 6,4.0,1.1,,20.0,88.0,2500000080326.0,(NZ)아보카도 5~6입/팩,,,,,,,80.0,12.0,6.666666666666667
272662,트레이더스,오렌지,72과,호주,봉지,72 봉지 12,3.0,3.0,재고 257,15.0,135.0,2500000026485.0,호주산 오렌지 3kg(봉),,,,,,,45.0,15.0,
279160,트레이더스,라임,200과,멕시코,봉지,200 봉 12,8.0,1.1,재고 2,3.0,25.0,2500000261244.0,멕시코산 라임 1kg(봉),,,,,,,24.0,15.0,1.6
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,30.0,2.7,,4.0,324.0,2609960000006.0,멕시코라임(벌크),,,,,,,120.0,15.0,8.0
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4.0,0.3,,5.0,5.0,2500000091933.0,라임(3입/팩),,,,,,,20.0,15.0,1.3333333333333333
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3.0,0.3,,7.0,5.0,8801483021351.0,상큼한라임(멕시코산)_3입(팩),,,,,,,21.0,15.0,1.4
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4.0,0.3,,5.0,5.0,8801483021351.0,멕시코산라임3입/팩,,,,,,,20.0,15.0,1.3333333333333333
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6.0,0.3,,11.0,17.0,8801483021351.0,멕시코라임3입/팩,,,,,,,66.0,15.0,4.4
