품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,20.0,29,8801483219314,미국산레몬2입/봉,,,,,,,120.0,15.0,8.0
277564,트레이더스,레몬,140과,미국,봉지,140 봉 18,6,2.2,연휴 202,45.0,591,2500000191046,미국산 레몬 15~19입/봉,,,,,,,270.0,,
231696,엠패스트,참다래 그린,115과,국내산,팩,115 1+1 4,10,0.7,,3.0,21,8801483007881,국산 참다래 더블팩_KKMC,,,,,,,30.0,15.0,2.0
231966,엠패스트,참다래 그린,115과,국내산,팩,115 1+1 4,10,0.7,,1.0,7,5013215,국산 참다래 더블팩,,,,,,,10.0,15.0,0.6666666666666666
231899,이마트,참다래 그린,115과,국내산,캡,115 캡 14,8,1.2,연휴 162,43.0,420,2500000087509,제주 그린키위/팩,,,,,,,344.0,,
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,,6.0,54,8809919990035,국산_그린키위_9-13입(팩),,,,,,,48.0,15.0,3.2
231862,에브리데이,참다래 그린,135과,국내산,캡,135 캡 11,6,0.8,,43.0,209,2500000206955,제주참다래(팩),,,,,,,258.0,15.0,17.2
231610,트레이더스,참다래 그린,78과,국내산,캡,78 캡 18,4,2.3,연휴 355,35.0,323,2500000113000,제주 그린키위 2.2kg(팩),,,,,,,140.0,,
231574,이마트,참다래 그린,105과,국내산,트레이,105 TR 22,1,2.1,잠시 대기,5.0,11,2500000275548,(S) 참다래 그린키위 세트,,,,,,,5.0,15.0,0.3333333333333333
296956,트레이더스,자몽,45과,이스라엘,소박스,45 소박스 10,1,3.9,연휴 924,96.0,375,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,96.0,,
