품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,,19.0,172.0,8809919990035.0,국산_그린키위_9-13입(팩),,,,,,,152.0,12.0,12.666666666666666
231862,에브리데이,참다래 그린,135과,국내산,캡,135 캡 11,6,0.8,예비 34,34.0,165.0,2500000206955.0,제주참다래(팩),,,,,,,,,
231987,홈플러스슈퍼,참다래 그린,155과,국내산,캡,155과 캡 13입,5,0.8,,10.0,42.0,8809144993078.0,국산그린키위_9-13입(팩),,,,,,,50.0,12.0,4.166666666666667
297415,도매,참다래 그린,135과,국내산,캡,135 캡 14 (1품),1,1.05263157894737,"DA-1000, 오렌지박스 9입",600.0,631.578947368422,,,,,,,,,600.0,12.0,50.0
297415,도매,참다래 그린,155과,국내산,캡,155 캡 16 (1품),1,1.0322580645161297,,,0.0,,,,,,,,,0.0,12.0,0.0
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,예비 755,135.0,608.0,2500000276149.0,당도선별 오렌지 4.5kg/박스,,,,,,,135.0,15.0,
272242,트레이더스,오렌지,72과,미국,소벌크,72 소박스 24,1,6.0,예비 864,18.0,108.0,2500000206009.0,세콰이어 오렌지 6kg/박스,,,,,,,18.0,15.0,
272285,노브랜드,오렌지,88과,미국,봉지,88 봉지 13,3,2.7,예비 96,72.0,577.0,2000001440384.0,네이블오렌지 기획(봉),,,,,,,216.0,15.0,
272271,트레이더스,오렌지,88과,미국,소박스,88 소박스 30,1,6.1,예비 762,18.0,111.0,2500000206009.0,세콰이어 오렌지 6kg/박스*,,,,,,,18.0,15.0,
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1,4.0,재고 574,108.0,432.0,2500000337727.0,이스라엘 자몽 7-11입/박스,,,,,,,108.0,,
297430,에브리데이,아보카도,16과,페루,벌크,16과 벌크,1,4.0,,50.0,200.0,2500000297946.0,(P)아보카도(왕특)개,,,,,,,50.0,2.0,25.0
297473,롯데슈퍼,아보카도,20과,페루,팩,20 봉 2,8,0.4,,12.0,38.0,8801483219147.0,페루산아보카도2입/봉,,,,,,,96.0,8.0,12.0
297415,에브리데이,아보카도,20과,페루,캡,20 캡 5,4,1.0,예비 111,111.0,444.0,2500000257575.0,(P)아보카도대용량(팩),,,,,,,444.0,,
297474,트레이더스,아보카도,18과,페루,봉지,18 봉 8,6,1.8,재고 151,66.0,693.0,2500000284892.0,페루산 아보카도 7-9입,,,,,,,396.0,,
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,25.0,36.0,8801483219314.0,미국산레몬2입/봉,,,,,,,150.0,8.0,18.75
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 335,55.0,733.0,2500000191046.0,미국산 레몬 15-19입/봉,,,,,,,330.0,,
279044,롯데마트,라임,175과,멕시코,팩,175 팩 3,6,0.3,,21.0,38.0,8801483021351.0,멕시코라임3입/팩,,,,,,,126.0,15.0,8.4
279126,롯데슈퍼,라임,175과,멕시코,팩,175 팩 3,4,0.3,,4.0,5.0,8801483021351.0,멕시코산라임3입/팩,,,,,,,16.0,15.0,1.0666666666666669
279129,에브리데이,라임,175과,멕시코,팩,175 팩 3,4,0.3,,3.0,4.0,2500000091933.0,라임(3입/팩),,,,,,,12.0,15.0,0.8
279159,트레이더스,라임,175과,멕시코,봉지,175 봉 10,8,1.0,,11.0,88.0,2500000261244.0,멕시코산 라임 1kg(봉),,,,,,,88.0,15.0,5.866666666666666
279044,홈플러스슈퍼,라임,175과,멕시코,팩,175 팩 3,3,0.3,,5.0,5.0,8801483021351.0,상큼한라임(멕시코산)_3입(팩),,,,,,,15.0,15.0,1.0
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,17.0,46.0,2609960000006.0,멕시코라임(벌크),,,,,,,17.0,15.0,1.1333333333333333
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,13.0,156.0,2500000291326.0,한입 밤고구마(1kg/봉),,,,,,,156.0,12.0,13.0
111243,홈플러스마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,8,1.0,,44.0,352.0,8807839013162.0,한입고구마_1KG(봉),,,,,,,352.0,12.0,29.33333333333333
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,53.0,424.0,430001161293.0,밤고구마(1kg/봉),,,,,,,424.0,12.0,35.333333333333336
111253,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,20.0,160.0,8801483775322.0,고구마1KG,,,,,,,160.0,12.0,13.333333333333334
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,32.0,384.0,2500000274824.0,밤고구마(1kg/봉),,,,,,,384.0,12.0,32.0
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,25.0,200.0,8809172890042.0,꿀고구마_1KG(봉),,,,,,,200.0,12.0,16.666666666666668
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,예비 250,250.0,375.0,400331700004.0,밤고구마(1.5KG/박스),,,,,,,250.0,,
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,예비 120,121.0,182.0,2270140000002.0,고구마/BOX,,,,,,,121.0,,
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,13.0,26.0,2500000076213.0,밤고구마(2kg/박스),,,,,,,13.0,12.0,1.0833333333333333
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,146.0,292.0,8809048243248.0,해남땅끝고구마_2KG(박스),,,,,,,146.0,12.0,12.166666666666666
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,8.0,96.0,2500000291333.0,한입 호박 고구마(1kg/봉),,,,,,,96.0,12.0,8.0
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,57.0,456.0,8809172890059.0,호박고구마_1KG봉,,,,,,,456.0,12.0,38.0
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,9.0,72.0,8801483775339.0,호박고구마1KG,,,,,,,72.0,12.0,6.0
105169,롯데마트,호박 고구마(저장),특,국내산,봉지,특 봉지 1kg,8,1.0,,20.0,160.0,430001162412.0,호박고구마(1kg/봉),,,,,,,160.0,12.0,13.333333333333334
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,가장 마지막 작업으로,176.0,2112.0,2500000274831.0,호박고구마(1kg/봉),,,,,,,2112.0,12.0,176.0
