품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
105125,롯데마트,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,특2 + 상,16.0,112.0,400158420000,호박고구마(700g/봉),,,,,,,160.0,11.0,14.545454545454543
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,10.0,120.0,2500000274831,호박고구마(1kg/봉),,,,,,,120.0,11.0,10.909090909090908
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,10.0,80.0,8809172890059,호박고구마_1KG봉,,,,,,,80.0,11.0,7.272727272727272
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,작은 잔상 사용,6.0,72.0,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,72.0,11.0,6.545454545454546
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,5.0,60.0,2500000291326,한입 밤고구마(1kg/봉),,,,,,,60.0,11.0,5.454545454545454
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,상 + 잔상,7.0,49.0,2759600000009,밤고구마/700g/봉,,,,,,,70.0,11.0,6.363636363636363
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,19.0,228.0,2500000274824,밤고구마(1kg/봉),,,,,,,228.0,11.0,20.727272727272727
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,특1 + 특2,14.0,28.0,2500000076213,밤고구마(2kg/박스),,,,,,,14.0,11.0,1.2727272727272727
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,6.0,9.0,2270140000002,고구마/BOX,,,,,,,6.0,11.0,0.5454545454545454
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,165.0,248.0,400331700004,햇밤고구마(1.5KG/박스),,,,,,,165.0,11.0,15.0
