품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
241923,롯데슈퍼,N.Z 키위 그린,104과,그린,팩,104 팩 9,4,0.9,,28,97,8801483848057,제스프리그린키위7~10입/팩,,,,,,,112.0,24.0,4.666666666666667
241924,에브리데이,N.Z 키위 그린,104과,그린,팩,104 팩 9,6,0.9,,17,89,2500000217388,그린키위 (팩),,,,,,,102.0,24.0,4.25
234514,홈플러스마트,N.Z 키위 그린,104과,그린,팩,104 캡 11,8,1.1,,22,187,8809048476677,제스프리_그린키위_8-14입(팩),,,,,,,176.0,24.0,7.333333333333333
246056,홈플러스슈퍼,N.Z 키위 그린,104과,그린,팩,104 캡 10,4,1.0,,20,77,8801483775094,제스프리그린키위_7-11입(팩),,,,,,,80.0,24.0,3.333333333333333
241931,노브랜드,N.Z 키위 그린,65과,그린,팩,65 팩 6,6,0.9,,18,99,2000001440438,제스프리 그린키위(팩)jumbo,,,,,,,108.0,24.0,4.5
241831,트레이더스,N.Z 키위 그린,72과,그린,캡,72 캡 18,4,2.5,재고 296,80,800,2500000282652,뉴질랜드 제스프리 그린키위 2.4kg,,,,,,,320.0,24.0,13.333333333333334
241347,이마트,N.Z 키위 그린,85과,그린,캡,85 캡 10,8,1.2,재고 3,56,529,2500000070013,제스프리그린키위/팩,,,,,,,448.0,24.0,18.666666666666668
270047,이마트,N.Z 키위 그린,85과,,캡,85 캡 5 + 48 캡 5,8,1.2,,17,162,2500000229084,제스프리 키위 반반팩(8-15입),,,,,,,136.0,24.0,5.666666666666667
241979,이마트,N.Z 키위 그린,93과,그린,캡,93 캡 7,8,0.8,,7,42,2500000303517,맛있는 후숙 그린키위 (6~8입/팩),,,,,,,56.0,24.0,2.333333333333333
242242,롯데마트,N.Z 키위 그린 유기농,85과,그린,캡,유) 85 팩 4,8,0.5,,4,15,430001117825,제스프리유기농그린키위(4-5입/팩),,,,,,,32.0,24.0,1.3333333333333333
242250,에브리데이,N.Z 키위 그린 유기농,85과,그린,팩,유) 85 팩 4,6,0.5,,8,23,1500000043162,(JN)유기농그린키위(4입/팩),,,,,,,48.0,24.0,2.0
