품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
296953,트레이더스,자몽,35과,이스라엘,소박스,35 소박스 9,1,4.1,"아침 직납
정확한 숫자 재공유",240,984.0,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,240.0,8.0,30.0
296953,트레이더스,자몽,35과,이스라엘,소박스,35 소박스 9,1,4.1,본 발주,132,543.0,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,132.0,8.0,16.5
296121,롯데슈퍼,자몽,48과,미국,봉지,48 봉 2,4,0.7,,25,67.0,8801483219307,미국산자몽2입/봉,,,,,,,100.0,15.0,6.666666666666667
277511,엠패스트,레몬,115과,미국,벌크,115과 벌크,1,17.0,,1,17.0,5014414,레몬 115과_미국산,,,,,,,1.0,15.0,0.0666666666666666
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,17,24.0,8801483219314,미국산레몬2입/봉,,,,,,,102.0,15.0,6.8
277564,트레이더스,레몬,140과,미국,봉지,140 봉 18,6,2.2,예비 180,56,736.0,2500000191046,미국산 레몬 15~19입/봉,,,,,,,336.0,,
231696,엠패스트,참다래 그린,115과,국내산,팩,115 1+1 4,10,0.7,,2,14.0,8801483007881,국산 참다래 더블팩_KKMC,,,,,,,20.0,15.0,1.3333333333333333
231696,이랜드,참다래 그린,115과,국내산,팩,115 1+1 4,10,0.7,,28,196.0,5013215,참다래 4~5입x2팩,,,,,,,280.0,15.0,18.666666666666668
231963,이랜드,참다래 그린,65과,국내산,캡,65 캡 7,8,1.1,,9,78.0,5011872,왕참다래 6~7입팩,,,,,,,72.0,15.0,4.8
231094,홈플러스마트,참다래 그린,87과,국내산,트레이,87 TR 22,1,2.5,"첫 발주
공통 디자인, 비표 부착
생산년도 : 2022년
합포장 X",114,288.0,8809070627306,국산그린키위_세트,,,,,,,114.0,6.0,19.0
231906,이마트,참다래 그린,95과,국내산,트레이,95 TR 20,1,2.1,"사전 예약 상품
공통 디자인, 진열기한X
생산년도 : 2023년
5입 합포장 진행",200,420.0,2500000275548,(S)제스프리 제주 그린키위,,,,,,,200.0,6.0,33.333333333333336
261560,홈플러스마트,제주골드,67과,제주골드,캡,67 캡 10,8,0.9,점심 전 원물 품위 확인,18,125.0,8809048474482,제스프리_골드키위(제주)_7-10입(팩),,,,,,,144.0,18.0,8.0
261561,홈플러스슈퍼,제주골드,67과,제주골드,캡,67 캡 9,6,0.8,점심 전 원물 품위 확인,2,9.0,8801483023577,제주골드키위_7-9입_(팩),,,,,,,12.0,18.0,0.6666666666666666
261555,롯데슈퍼,제주골드,67과,제주골드,캡,67 캡 10,6,0.9,,15,78.0,8801483003760,제스프리제주골드키위7~10입/팩,,,,,,,90.0,18.0,5.0
261556,에브리데이,제주골드,67과,제주골드,캡,67 캡 10,6,0.9,,124,647.0,2500000206320,제주 골드키위(팩),,,,,,,744.0,18.0,41.333333333333336
261528,이마트,제주골드,52과,제주골드,캡,52 캡 9,8,1.0,재고 7,70,560.0,2500000087523,제스프리 제주골드키위/팩,,,,,,,560.0,18.0,31.11111111111111
261542,노브랜드,제주골드,41과,제주골드,캡,41 캡 6,4,0.9,,17,58.0,2000000596228,제주 골드키위(팩),,,,,,,68.0,18.0,3.7777777777777777
261450,트레이더스,제주골드,48과,제주골드,팩,48 캡 11,6,1.3,재고 161,36,287.0,2500000113017,제스프리 제주골드키위 1.3kg/팩,,,,,,,216.0,,
248448,이마트,제주골드,59과,골드,트레이,59 TR 22,1,2.5,"사전 예약 상품
공통 디자인, 진열기한X
생산년도 : 2023년
5입 합포장 진행",315,772.0,2500000274268,(S)제스프리 골드키위 세트(사전전용),,,,,,,315.0,6.0,52.5
293078,트레이더스,멜로골드,27과,미국,소박스,27 소박스 8,1,4.7,"팬시, 예비 401",62,294.0,2500000110597,미국산 메로골드자몽 7~9입/박스,,,,,,,62.0,,
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1,5.0,팬시,19,95.0,2230840000009,미국산메로골드32과/개,,,,,,,19.0,8.0,2.375
293267,에브리데이,멜로골드,32과,미국,KCP,32 SB 6,1,3.0,"팬시, 스티커 10장씩",10,30.0,2500000117138,메로골드자몽,,,,,,,10.0,8.0,1.25
293244,이마트,멜로골드,36과,미국,봉지,36 봉지 4,6,1.8,팬시,31,331.0,2500000050503,미국산 멜로골드자몽 4~5입/봉,,,,,,,186.0,8.0,23.25
293244,홈플러스마트,멜로골드,36과,미국,봉지,36 봉지 4,6,1.8,"팬시, 선별 O",15,160.0,8809529025370,메로골드(미국)_4-5입(봉),,,,,,,90.0,8.0,11.25
293154,홈플러스마트,멜로골드,27과,미국,벌크,27과 벌크,1,16.0,"팬시, 선별 O",17,272.0,8809048475335,메로골드(미국)_개특대,,,,,,,17.0,1.5,11.333333333333334
293156,홈플러스슈퍼,멜로골드,36과,미국,벌크,36과 벌크,1,16.0,"팬시, 선별 O",2,32.0,7121,메로골드(특)_(미국)개,,,,,,,2.0,1.5,1.3333333333333333
293155,이마트,멜로골드,32과,미국,벌크,32과 벌크,1,16.0,"팬시, 선별 X",17,272.0,2426320000000,멜로골드자몽 (특),,,,,,,17.0,,
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,특2 + 상 사용,7,49.0,2759610000006,호박고구마700G/봉,,,,,,,70.0,11.0,6.363636363636363
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,16,192.0,2500000274831,호박고구마(1kg/봉),,,,,,,192.0,11.0,17.454545454545453
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,14,112.0,8809172890059,호박고구마_1KG봉,,,,,,,112.0,11.0,10.181818181818182
105089,홈플러스슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,2,14.0,9988,호박고구마_700G(봉),,,,,,,20.0,11.0,1.818181818181818
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,작은 잔상 사용,11,132.0,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,132.0,11.0,12.0
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,11,132.0,2500000291326,한입 밤고구마(1kg/봉),,,,,,,132.0,11.0,12.0
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,특2 + 상 사용,15,23.0,400331700004,햇밤고구마(1.5KG/박스),,,,,,,15.0,11.0,1.3636363636363635
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,56,84.0,2270140000002,고구마/BOX,,,,,,,56.0,11.0,5.090909090909091
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,48,96.0,2500000076213,밤고구마(2kg/박스),,,,,,,48.0,11.0,4.363636363636363
111091,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,상 + 상비품 사용,3,21.0,400304770003,햇밤고구마(700g/봉),,,,,,,30.0,11.0,2.727272727272727
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,1,7.0,2759600000009,밤고구마/700g/봉,,,,,,,10.0,11.0,0.9090909090909092
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,30,360.0,2500000274824,밤고구마(1kg/봉),,,,,,,360.0,11.0,32.72727272727273
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,4,32.0,8809172890042,밤꿀고구마_1KG(봉),,,,,,,32.0,11.0,2.909090909090909
279067,롯데마트,라임,200과,멕시코,KCP,200 SB 21,1,1.8,,17,31.0,2609960000006,멕시코라임(벌크),,,,,,,17.0,11.0,1.5454545454545454
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,3,3.0,8801483021351,멕시코산라임3입/팩,,,,,,,12.0,11.0,1.0909090909090908
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,8,8.0,2500000091933,라임(3입/팩),,,,,,,32.0,11.0,2.909090909090909
279184,트레이더스,라임,200과,멕시코,봉지,200 봉 13,8,1.1,,6,55.0,2500000261244,멕시코산 라임 1kg(봉),,,,,,,48.0,11.0,4.363636363636363
279045,홈플러스마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,25,39.0,8801483021351,상큼한라임(멕시코산)_3입(팩)(240g내외),,,,,,,150.0,11.0,13.636363636363637
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,8,6.0,8801483021351,상큼한라임(멕시코산)_3입(팩)(240g내외),,,,,,,24.0,11.0,2.1818181818181817
297600,에브리데이,아보카도,18과,칠레,캡,18 캡 5,4,1.1,,49,218.0,2500000298288,(C)대용량아보카도(5~6입/팩),,,,,,,196.0,13.0,15.076923076923077
297615,트레이더스,아보카도,18과,칠레,봉지,18 봉 8,6,1.8,예비 96,38,404.0,2500000306754,칠레산 아보카도 7-9입,,,,,,,228.0,,
272552,트레이더스,오렌지,40과,칠레,봉지,40 봉지 8,3,3.0,재고 122,30,270.0,2500000200113,칠레산 오렌지 2.5kg(봉),,,,,,,90.0,,
