품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
277127,롯데슈퍼,레몬,140과,칠레,KCP,140 SB 15,1.0,1.8,,5.0,9.0,2445210000002.0,칠레산레몬/개,,,,,,,5.0,8.0,0.625
277127,롯데슈퍼,레몬,140과,칠레,KCP,140 SB 15,1.0,1.8,일요일 작업,6.0,11.0,2445210000002.0,칠레산레몬/개,,,,,,,6.0,8.0,0.75
277096,트레이더스,레몬,140과,칠레,봉지,140 봉 18,6.0,2.2,재고 56,107.0,1406.0,2500000191077.0,칠레산 레몬 2.1kg/봉,,,,,,,306.0,8.0,38.25
277096,트레이더스,레몬,140과,칠레,봉지,140 봉 18,6.0,2.2,일요일 작업,87.0,1143.0,2500000191077.0,칠레산 레몬 2.1kg/봉,,,,,,,522.0,8.0,65.25
277011,엠패스트,레몬,115과,칠레,벌크,115 벌크,1.0,17.0,일요일 작업,1.0,17.0,5010530.0,레몬115_칠레,,,,,,,1.0,1.0,1.0
297233,에브리데이,아보카도,30과,뉴질랜드,캡,30 캡 6,4.0,1.2,,19.0,87.0,2500000080326.0,(NZ)아보카도 5~6입/팩,,,,,,,76.0,15.0,5.066666666666666
297249,트레이더스,아보카도,24과,뉴질랜드,봉지,24 봉 8,6.0,1.8,,97.0,1065.0,2500000298707.0,뉴질랜드산 아보카도 7-9입,,,,,,,582.0,9.0,64.66666666666667
297249,트레이더스,아보카도,24과,뉴질랜드,봉지,24 봉 8,6.0,1.8,일요일 작업,52.0,571.0,2500000298707.0,뉴질랜드산 아보카도 7-9입,,,,,,,312.0,9.0,34.666666666666664
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1.0,5.0,,12.0,60.0,2230840000009.0,미국산메로골드특대/개,,,,,,,12.0,6.0,2.0
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1.0,5.0,일요일 작업,21.0,105.0,2230840000009.0,미국산메로골드특대/개,,,,,,,21.0,6.0,3.5
293270,이마트,멜로골드,36과,미국,봉지,36 봉지 4,6.0,1.8,재고 9,107.0,1143.0,2500000050503.0,미국산 멜로골드자몽 4~5입/봉,,,,,,,642.0,9.0,71.33333333333333
