품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,8,96.0,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,96.0,12.0,8.0
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,23,184.0,8801483775339,호박고구마1KG,,,,,,,184.0,12.0,15.333333333333334
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,19,228.0,2500000274831,호박고구마(1kg/봉),,,,,,,228.0,12.0,19.0
105169,롯데마트,호박 고구마(저장),특,국내산,봉지,특 봉지 1kg,8,1.0,특2 + 상 사용,44,352.0,430001162412,호박고구마(1kg/봉),,,,,,,352.0,12.0,29.33333333333333
105168,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1.5kg,8,1.5,"특1, 특2 우선 사용",48,576.0,8809280982127,호박고구마_1.5KG(봉),,,,,,,384.0,12.0,32.0
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,19,228.0,2500000291326,한입 밤고구마(1kg/봉),,,,,,,228.0,12.0,19.0
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,28,224.0,8809172890042,꿀고구마_1KG(봉),,,,,,,224.0,12.0,18.666666666666668
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,61,488.0,430001161293,밤고구마(1kg/봉),,,,,,,488.0,12.0,40.66666666666666
111253,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,34,272.0,8801483775322,고구마1KG,,,,,,,272.0,12.0,22.666666666666668
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,30,360.0,2500000274824,밤고구마(1kg/봉),,,,,,,360.0,12.0,30.0
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,특2 택배용 500kg 남기기,58,87.0,400331700004,밤고구마(1.5KG/박스),,,,,,,58.0,12.0,4.833333333333333
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,70,105.0,2270140000002,고구마/BOX,,,,,,,70.0,12.0,5.833333333333333
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,31,62.0,2500000076213,밤고구마(2kg/박스),,,,,,,31.0,12.0,2.583333333333333
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,237,474.0,8809048243248,해남땅끝고구마_2KG(박스),,,,,,,237.0,12.0,19.75
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1,4.0,재고 252,216,864.0,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,216.0,,
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1,4.0,재고 포함해서 예비 진행,480,1920.0,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,480.0,8.0,60.0
231987,홈플러스슈퍼,참다래 그린,155과,국내산,캡,155과 캡 13입,5,0.8,재고 29(재검),41,172.0,8809144993078,국산그린키위_9-13입(팩),,,,,,,205.0,12.0,17.083333333333332
231862,에브리데이,참다래 그린,135과,국내산,캡,135 캡 11,6,0.8,,45,219.0,2500000206955,제주참다래(팩),,,,,,,270.0,12.0,22.5
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,재고 3(재검),9,81.0,8809919990035,국산_그린키위_9-13입(팩),,,,,,,72.0,12.0,6.0
231670,이마트,참다래 그린,115과,국내산,캡,115 캡 12,8,1.0,재고 15,67,557.0,2507281010738,제주그린키위 8~12입팩,,,,,,,536.0,12.0,44.66666666666666
231610,트레이더스,참다래 그린,78과,국내산,캡,78 캡 18,4,2.3,,26,240.0,2500000113000,제주 그린키위 2.2kg(팩),,,,,,,104.0,12.0,8.666666666666666
297415,에브리데이,아보카도,20과,페루,캡,20 캡 5,4,1.0,,119,476.0,2500000257575,(P)아보카도대용량(팩),,,,,,,476.0,12.0,39.66666666666666
297453,트레이더스,아보카도,16과,페루,봉지,16 봉 7,6,1.8,재고 2,71,758.0,2500000284892,페루산 아보카도 7-9입,,,,,,,426.0,8.0,53.25
297473,롯데슈퍼,아보카도,20과,페루,팩,20 봉 2,8,0.4,,6,19.0,8801483219147,페루산아보카도2입/봉,,,,,,,48.0,8.0,6.0
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,29,42.0,8801483219314,미국산레몬2입/봉,,,,,,,174.0,10.0,17.4
277564,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 133,55,723.0,2500000191046,미국산 레몬 15-19입/봉,,,,,,,330.0,,
277564,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 포함해서 예비 진행,270,3564.0000000000005,2500000191046,미국산 레몬 15-19입/봉,,,,,,,1620.0,8.0,202.5
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,13,35.0,2609960000006,멕시코라임(벌크),,,,,,,13.0,15.0,0.8666666666666667
279044,롯데마트,라임,175과,멕시코,팩,175 팩 3,6,0.3,,9,16.0,8801483021351,멕시코라임3입/팩,,,,,,,54.0,15.0,3.6
279126,롯데슈퍼,라임,175과,멕시코,팩,175 팩 3,4,0.3,,6,7.0,8801483021351,멕시코산라임3입/팩,,,,,,,24.0,15.0,1.6
279129,에브리데이,라임,175과,멕시코,팩,175 팩 3,4,0.3,,12,14.0,2500000091933,라임(3입/팩),,,,,,,48.0,15.0,3.2
279044,홈플러스슈퍼,라임,175과,멕시코,팩,175 팩 3,3,0.3,재고 4,8,7.0,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,24.0,15.0,1.6
279159,트레이더스,라임,175과,멕시코,봉지,175 봉 10,8,1.0,재고 1,15,120.0,2500000261244,멕시코산 라임 1kg(봉),,,,,,,120.0,15.0,8.0
272285,노브랜드,오렌지,88과,미국,봉지,88 봉지 13,3,2.7,세콰이어,110,881.0,2000001440384,네이블오렌지 기획(봉),,,,,,,330.0,8.0,41.25
272271,트레이더스,오렌지,88과,미국,소박스,88 소박스 30,1,6.1,세콰이어,414,2542.0,2500000206009,세콰이어 오렌지 6kg/박스*,,,,,,,414.0,8.0,51.75
272242,트레이더스,오렌지,72과,미국,소벌크,72 소박스 24,1,6.0,재고 482,414,2484.0,2500000206009,세콰이어 오렌지 6kg/박스,,,,,,,414.0,8.0,
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,고당도,360,1620.0,2500000276149,당도선별 오렌지 4.5kg/박스,,,,,,,360.0,8.0,45.0
