품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,4,32,8809172890059,호박고구마_1KG봉,,,,,,,32.0,12.0,2.6666666666666665
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,잔상 우선사용,6,48,8801483775339,호박고구마1KG,,,,,,,48.0,12.0,4.0
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,3,21,2759610000006,호박고구마700G/봉,,,,,,,30.0,12.0,2.5
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,10,120,2500000274831,호박고구마(1kg/봉),,,,,,,120.0,12.0,10.0
105054,롯데마트,호박 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,잔상 우선사용,11,17,400400790004,호박고구마(1.5KG/박스),,,,,,,11.0,12.0,0.9166666666666666
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,3,36,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,36.0,12.0,3.0
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,6,72,2500000291326,한입 밤고구마(1kg/봉),,,,,,,72.0,12.0,6.0
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,잔상 우선사용,14,112,430001161293,밤고구마(1kg/봉),,,,,,,112.0,12.0,9.333333333333334
111253,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,7,56,8801483775322,고구마1KG,,,,,,,56.0,12.0,4.666666666666667
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,10,70,2759600000009,밤고구마/700g/봉,,,,,,,100.0,12.0,8.333333333333334
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,33,396,2500000274824,밤고구마(1kg/봉),,,,,,,396.0,12.0,33.0
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,317,634,8809048243248,해남땅끝고구마_2KG(박스),,,,,,,317.0,12.0,26.416666666666668
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,70,105,400331700004,밤고구마(1.5KG/박스),,,,,,,70.0,12.0,5.833333333333333
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,80,120,2270140000002,고구마/BOX,,,,,,,80.0,12.0,6.666666666666667
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,16,32,2500000076213,밤고구마(2kg/박스),,,,,,,16.0,12.0,1.3333333333333333
