품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
105115,홈플러스슈퍼,호박 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,689,1034,8809350334511,해남_호박고구마_1.5KG박스,,,,,,,689.0,12.0,57.41666666666666
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,190,285,400331700004,밤고구마(1.5KG/박스),,,,,,,190.0,12.0,15.833333333333334
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,37,56,2270140000002,고구마/BOX,,,,,,,37.0,12.0,3.083333333333333
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,22,44,2500000076213,밤고구마(2kg/박스),,,,,,,22.0,12.0,1.8333333333333333
248135,이마트,N.Z 키위 골드,48과,골드,캡,48 캡 10,8,1.2,"예비 96, 날짜변경 550",646,9893,2500000070020,제스프리 썬골드키위/팩,,,,,,,4400.0,30.0,146.66666666666666
277511,엠패스트,레몬,115과,미국,벌크,115과 벌크,1,17.0,,1,17,5014414,레몬 115과_미국산,,,,,,,1.0,1.0,1.0
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,13,19,8801483219314,미국산레몬2입/봉,,,,,,,78.0,12.0,6.5
277564,트레이더스,레몬,140과,미국,봉지,140 봉 18,6,2.2,재고 68,94,1235,2500000191046,미국산 레몬 15-19입/봉,,,,,,,156.0,8.0,19.5
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1,4.0,재고 104,204,816,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,100.0,8.0,12.5
296959,엠패스트,자몽,50과,이스라엘,벌크,50과 벌크,1,16.0,,1,16,5014424,자몽50과 이스라엘,,,,,,,1.0,1.0,1.0
297453,트레이더스,아보카도,18과,페루,봉지,18 봉 8,6,1.8,재고 21,103,1100,2500000284892,페루산 아보카도 7-9입,,,,,,,492.0,8.0,61.5
297473,롯데슈퍼,아보카도,20과,페루,봉지,20 봉 2,8,0.4,,8,26,8801483219147,페루산아보카도2입/봉,,,,,,,64.0,10.0,6.4
297415,에브리데이,아보카도,20과,페루,캡,20 캡 5,4,1.0,,70,280,2500000257575,(P)아보카도대용량(팩),,,,,,,280.0,10.0,28.0
297457,엠패스트,아보카도,20과,페루,벌크,20과 벌크,1,4.0,,15,60,5012813,페루산 아보카도20입,,,,,,,15.0,1.0,15.0
279044,롯데마트,라임,175과,멕시코,팩,175 팩 3,6,0.3,,11,20,8801483021351,멕시코라임3입/팩,,,,,,,66.0,15.0,4.4
