품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,재고 350,465,2093.0,2500000276149,당도선별 오렌지 4.5kg/박스,,,,,,,115.0,8.0,14.375
272242,트레이더스,오렌지,72과,미국,소벌크,72 소박스 24,1,6.0,재고 930,300,1800.0,2500000206009,세콰이어 오렌지 6kg/박스,,,,,,,300.0,,
272271,트레이더스,오렌지,88과,미국,소박스,88 소박스 30,1,6.1,재고 612,300,1842.0,2500000206009,세콰이어 오렌지 6kg/박스*,,,,,,,300.0,,
248248,트레이더스,N.Z 키위 골드,31과,골드,캡,31 캡 12,4,2.3,예비 952,426,3834.0,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,1704.0,,
248370,노브랜드,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,넘어간 37과 사용,31,117.0,2000001241097,제스프리골드키위(팩)JUMBO,,,,,,,124.0,26.0,4.769230769230769
248493,홈플러스슈퍼,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,11,41.0,8809048476363,제스프리_점보썬골드키위_5-6입(팩),,,,,,,44.0,26.0,1.6923076923076923
248494,홈플러스마트,N.Z 키위 골드,44과,골드,캡,44 캡 7,8,1.0,,381,2957.0,8809048473256,제스프리_썬골드키위_7-12입(팩),,,,,,,3048.0,26.0,117.23076923076924
248492,홈플러스슈퍼,N.Z 키위 골드,52과,골드,캡,52 캡 8,4,0.9,,220,748.0,8801483116101,제스프리썬골드키위_7-10입(팩),,,,,,,880.0,26.0,33.84615384615385
248101,에브리데이,N.Z 키위 골드,52과,골드,캡,52 캡 8,6,0.9,,32,171.0,2500000216244,(NZ)골드키위(팩),,,,,,,192.0,26.0,7.384615384615385
248389,이마트,N.Z 키위 골드,59과,골드,봉지,59 봉 2,10,0.2,,29,58.0,2500000224164,제스프리 썬골드키위 2입/봉,,,,,,,290.0,26.0,11.153846153846152
