품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,,8,72,8809919990035,국산_그린키위_9-13입(팩),,,,,,,64.0,12.0,5.333333333333333
231572,홈플러스슈퍼,참다래 그린,115과,국내산,캡,115 캡 10,5,0.9,,47,204,8809144993078,국산그린키위_9-13입(팩),,,,,,,235.0,12.0,19.58333333333333
231851,에브리데이,참다래 그린,115과,국내산,캡,115 캡 10,6,0.9,,37,193,2500000206955,제주참다래(팩),,,,,,,222.0,12.0,18.5
231670,이마트,참다래 그린,115과,국내산,캡,115 캡 12,8,1.0,,96,799,2507281010738,제주그린키위 8~12입팩,,,,,,,768.0,12.0,64.0
231985,트레이더스,참다래 그린,87과,국내산,캡,87 캡 19,4,2.2,재고 192,221,1927,2500000113000,제주 그린키위 2.2kg(팩),,,,,,,884.0,12.0,73.66666666666667
272285,노브랜드,오렌지,88과,미국,봉지,88 봉지 13,3,2.7,,62,497,2000001440384,네이블오렌지 기획(봉),,,,,,,186.0,10.0,18.6
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,재고 351,795,3578,2500000276149,당도선별 오렌지 4.5kg/박스,,,,,,,444.0,8.0,55.5
272242,트레이더스,오렌지,72과,미국,소벌크,72 소박스 24,1,6.0,재고 96,228,1368,2500000206009,세콰이어 오렌지 6kg/박스,,,,,,,132.0,8.0,16.5
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,9,13,8801483219314,미국산레몬2입/봉,,,,,,,54.0,12.0,4.5
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 179,151,2011,2500000191046,미국산 레몬 15-19입/봉,,,,,,,,,
296956,트레이더스,자몽,45과,이스라엘,소박스,45 소박스 11,1,3.9,재고 480,276,1079,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,,,
297473,롯데슈퍼,아보카도,20과,페루,팩,20 봉 2,8,0.4,,15,48,8801483219147,페루산아보카도2입/봉,,,,,,,120.0,10.0,12.0
297470,트레이더스,아보카도,16과,페루,봉지,16 봉 7,6,1.8,재고 27,114,1252,2500000284892,페루산 아보카도 7-9입,,,,,,,522.0,8.0,65.25
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,10,16,8801483021351,멕시코라임3입/팩,,,,,,,60.0,15.0,4.0
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,11,30,2609960000006,멕시코라임(벌크),,,,,,,11.0,15.0,0.7333333333333333
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,4,4,8801483021351,멕시코산라임3입/팩,,,,,,,16.0,15.0,1.0666666666666669
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,5,5,2500000091933,라임(3입/팩),,,,,,,20.0,15.0,1.3333333333333333
279160,트레이더스,라임,175과,멕시코,봉지,175 봉 10,8,1.1,재고 2,14,118,2500000261244,멕시코산 라임 1kg(봉),,,,,,,112.0,15.0,7.466666666666667
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,2,2,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,6.0,15.0,0.4
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,8,96,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,96.0,12.0,8.0
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,16,128,8809172890059,호박고구마_1KG봉,,,,,,,128.0,12.0,10.666666666666666
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,4,28,2759610000006,호박고구마700G/봉,,,,,,,40.0,12.0,3.333333333333333
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,18,216,2500000274831,호박고구마(1kg/봉),,,,,,,216.0,12.0,18.0
105054,롯데마트,호박 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,예비 152,152,228,400400790004,호박고구마(1.5KG/박스),,,,,,,,,
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,29,348,2500000291326,한입 밤고구마(1kg/봉),,,,,,,348.0,12.0,29.0
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,2,16,8809172890042,꿀고구마_1KG(봉),,,,,,,16.0,12.0,1.3333333333333333
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,16,128,430001161293,밤고구마(1kg/봉),,,,,,,128.0,12.0,10.666666666666666
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,,13,91,2759600000009,밤고구마/700g/봉,,,,,,,130.0,12.0,10.833333333333334
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,58,696,2500000274824,밤고구마(1kg/봉),,,,,,,696.0,12.0,58.0
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,532,1064,8809048243248,해남땅끝고구마_2KG(박스),,,,,,,532.0,12.0,44.333333333333336
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,270,405,400331700004,밤고구마(1.5KG/박스),,,,,,,270.0,12.0,22.5
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,50,75,2270140000002,고구마/BOX,,,,,,,50.0,12.0,4.166666666666667
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,5,10,2500000076213,밤고구마(2kg/박스),,,,,,,5.0,12.0,0.4166666666666667
