품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,17,24.0,8801483219314,미국산레몬2입/봉,,,,,,,102.0,10.0,10.2
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 303,112,1492.0,2500000191046,미국산 레몬 2.1kg/봉,,,,,,,672.0,,
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,예비 진행,180,2376.0,2500000191046,미국산 레몬 2.1kg/봉,,,,,,,1080.0,,
297473,롯데슈퍼,아보카도,20과,페루,봉지,20 봉 2,8,0.4,,8,26.0,8801483219147,페루산아보카도2입/봉,,,,,,,64.0,10.0,6.4
297415,에브리데이,아보카도,20과,페루,캡,20 캡 5,4,1.0,,33,132.0,2500000257575,(P)아보카도대용량(팩),,,,,,,132.0,10.0,13.2
297476,트레이더스,아보카도,20과,페루,봉지,20 봉 9,6,1.8,재고 202,84,907.0,2500000284892,페루산 아보카도 7-9입,,,,,,,504.0,,
297457,엠패스트,아보카도,20과,페루,벌크,20과 벌크,1,4.0,약선별,8,32.0,5012813,페루산 아보카도20입,,,,,,,8.0,1.0,8.0
297430,에브리데이,아보카도,16과,페루,벌크,16과 벌크,1,4.0,,1,4.0,2500000297946,(P)아보카도(왕특)개,,,,,,,1.0,1.0,1.0
297476,트레이더스,아보카도,16과,페루,봉지,16 봉 7,6,1.8,예비 진행,90,972.0,2500000284892,페루산 아보카도 7-9입,,,,,,,540.0,,
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,4,6.0,8801483021351,멕시코라임3입/팩,,,,,,,24.0,15.0,1.6
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,4,4.0,8801483021351,멕시코산라임3입/팩,,,,,,,16.0,15.0,1.0666666666666669
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,9,9.0,2500000091933,라임(3입/팩),,,,,,,36.0,15.0,2.4
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,6,5.0,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,18.0,15.0,1.2
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,14,38.0,2609960000006,멕시코라임(벌크),,,,,,,14.0,15.0,0.9333333333333332
279159,트레이더스,라임,175과,멕시코,봉지,175 봉 10,8,1.0,,11,88.0,2500000261244,멕시코산 라임 1kg(봉),,,,,,,88.0,15.0,5.866666666666666
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,12,96.0,8809172890042,꿀고구마_1KG(봉),,,,,,,96.0,12.0,8.0
