품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
261405,홈플러스마트,제주골드,52과,제주골드,캡,52 캡 8,8,0.9,,71,506,8809048474482,제스프리_골드키위(제주)_7-10입(팩),,,,,,,568.0,22.0,25.818181818181817
261631,홈플러스슈퍼,제주골드,52과,제주골드,캡,52 캡 7,6,0.8,,21,98,8801483023577,제주골드키위_7-9입_(팩),,,,,,,126.0,22.0,5.727272727272728
261633,롯데슈퍼,제주골드,52과,제주골드,캡,52 캡 7,6,0.8,,70,328,8801483003760,제스프리제주골드키위7~10입/팩,,,,,,,420.0,22.0,19.09090909090909
261632,에브리데이,제주골드,52과,제주골드,캡,52 캡 7,6,0.8,,20,94,2500000206320,제주 골드키위(팩),,,,,,,120.0,22.0,5.454545454545454
261626,트레이더스,제주골드,48과,제주골드,캡,48 캡 12,6,1.5,예비 224,122,1061,2500000113017,제스프리 제주골드키위 1.3kg/팩,,,,,,,732.0,,
261542,노브랜드,제주골드,41과,국내산,캡,41 캡 6,4,0.9,,92,313,2000000596228,제주 골드키위(팩),,,,,,,368.0,15.0,24.53333333333333
297236,트레이더스,아보카도,20과,뉴질랜드,봉지,20 봉 7,6,1.9,,111,1265,2500000298707,뉴질랜드산 아보카도 7-9입,,,,,,,666.0,8.0,83.25
297252,에브리데이,아보카도,30과,뉴질랜드,캡,30 캡 6,4,1.1,,23,101,2500000080326,(NZ)아보카도 5~6입/팩,,,,,,,92.0,12.0,7.666666666666667
277096,트레이더스,레몬,140과,칠레,봉지,140 봉 18,6,2.2,예비 128,126,1656,2500000191077,칠레산 레몬 2.1kg/봉,,,,,,,756.0,,
272662,트레이더스,오렌지,72과,호주,봉지,72 봉지 12,3,3.0,예비 159,106,954,2500000026485,호주산 오렌지 3kg(봉),,,,,,,318.0,,
279045,노브랜드,라임,200과,멕시코,팩,200 팩 3,4,0.3,,2,2,8801483021351,라임 (3입/팩),,,,,,,8.0,15.0,0.5333333333333333
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,8,12,8801483021351,멕시코라임3입/팩,,,,,,,48.0,15.0,3.2
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,5,5,8801483021351,멕시코산라임3입/팩,,,,,,,20.0,15.0,1.3333333333333333
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,5,5,2500000091933,라임(3입/팩),,,,,,,20.0,15.0,1.3333333333333333
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,1,1,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,3.0,15.0,0.2
279160,트레이더스,라임,200과,멕시코,봉지,200 봉 12,8,1.1,,14,118,2500000261244,멕시코산 라임 1kg(봉),,,,,,,112.0,15.0,7.466666666666667
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,10,27,2609960000006,멕시코라임(벌크),,,,,,,10.0,15.0,0.6666666666666666
105075,롯데마트,호박 고구마(저장),중,국내산,봉지,중 봉지 700g,8,0.7,,5,28,400267040007,한입호박고구마(700g/봉),,,,,,,40.0,12.0,3.333333333333333
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,6,72,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,72.0,12.0,6.0
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,"60 ~ 280g
잔상 우선 사용!",24,192,8809172890059,호박고구마_1KG봉,,,,,,,192.0,12.0,16.0
105089,홈플러스슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10,0.7,80 ~ 280g,3,21,9988,호박고구마_700G(봉),,,,,,,30.0,12.0,2.5
1050021,롯데마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,23,184,8801483775339,햇호박고구마(1kg/봉),,,,,,,184.0,12.0,15.333333333333334
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,10,80,8801483775339,호박고구마1KG,,,,,,,80.0,12.0,6.666666666666667
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,16,192,2500000274831,호박고구마(1kg/봉),,,,,,,192.0,12.0,16.0
