품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,1,12.0,2500000291333,한입 호박 고구마(1kg/봉),,,,,,,12.0,12.0,1.0
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,재고 10(품위 점검),25,200.0,8809172890059,호박고구마_1KG봉,,,,,,,200.0,12.0,16.666666666666668
105169,롯데마트,호박 고구마(저장),특,국내산,봉지,특 봉지 1kg,8,1.0,,33,264.0,430001162412,호박고구마(1kg/봉),,,,,,,264.0,12.0,22.0
117016,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,특2 + 상,12,96.0,8801483775339,호박고구마1KG,,,,,,,96.0,12.0,8.0
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,48,576.0,2500000274831,호박고구마(1kg/봉),,,,,,,576.0,12.0,48.0
111243,홈플러스마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,8,1.0,재고 10(품위 점검),22,176.0,8807839013162,한입고구마_1KG(봉),,,,,,,176.0,12.0,14.666666666666666
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12,1.0,,18,216.0,2500000291326,한입 밤고구마(1kg/봉),,,,,,,216.0,12.0,18.0
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,재고 10(품위 점검),21,168.0,8809172890042,꿀고구마_1KG(봉),,,,,,,168.0,12.0,14.0
111251,롯데마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,56,448.0,430001161293,밤고구마(1kg/봉),,,,,,,448.0,12.0,37.333333333333336
111253,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8,1.0,,22,176.0,8801483775322,고구마1KG,,,,,,,176.0,12.0,14.666666666666666
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12,1.0,,31,372.0,2500000274824,밤고구마(1kg/봉),,,,,,,372.0,12.0,31.0
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,재고 95(품위 점검),158,316.0,8809048243248,해남땅끝고구마_2KG(박스),,,,,,,158.0,12.0,13.166666666666666
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,138,207.0,400331700004,밤고구마(1.5KG/박스),,,,,,,138.0,12.0,11.5
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1,1.5,,32,48.0,2270140000002,고구마/BOX,,,,,,,32.0,12.0,2.6666666666666665
111083,이마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1,2.0,,15,30.0,2500000076213,밤고구마(2kg/박스),,,,,,,15.0,12.0,1.25
231893,홈플러스마트,참다래 그린,115과,국내산,캡,115 캡 13,8,1.1,이마트 상품 사용,9,81.0,8809919990035,국산_그린키위_9-13입(팩),,,,,,,72.0,12.0,6.0
231987,홈플러스슈퍼,참다래 그린,155과,국내산,캡,155과 캡 13입,5,0.8,,9,38.0,8809144993078,국산그린키위_9-13입(팩),,,,,,,45.0,12.0,3.75
231862,에브리데이,참다래 그린,135과,국내산,캡,135 캡 11,6,0.8,,25,122.0,2500000206955,제주참다래(팩),,,,,,,150.0,12.0,12.5
297415,도매,참다래 그린,155과,국내산,캡,155 캡 16 (1품),1,1.0322580645161297,"예상 숫자
 ""참다래(키위) 1kg 팩""
스티커 부착
재고 84(비표 수정)",600,619.3548387096778,"DA-1000, NZ 골드박스에 3입씩 담기",,,,,,,,600.0,12.0,50.0
272262,트레이더스,오렌지,72과,미국,소박스,72 소박스 18,1,4.5,고당도. 예비 240,279,1256.0,2500000276149,당도선별 오렌지 4.5kg/박스,,,,,,,279.0,8.0,34.875
272299,트레이더스,오렌지,88과,미국,소박스,88 소박스 24,1,4.9,고당도. 예비 80,276,1352.0,2500000276149,당도선별 오렌지 4.5kg/박스*,,,,,,,276.0,8.0,34.5
272242,트레이더스,오렌지,72과,미국,소벌크,72 소박스 24,1,6.0,,216,1296.0,2500000206009,세콰이어 오렌지 6kg/박스,,,,,,,216.0,8.0,27.0
272271,트레이더스,오렌지,88과,미국,소박스,88 소박스 30,1,6.1,,216,1326.0,2500000206009,세콰이어 오렌지 6kg/박스*,,,,,,,216.0,8.0,27.0
272285,노브랜드,오렌지,88과,미국,봉지,88 봉지 13,3,2.7,,56,449.0,2000001440384,네이블오렌지 기획(봉),,,,,,,168.0,8.0,21.0
248248,트레이더스,N.Z 키위 골드,31과,골드,캡,31 캡 12,4,2.3,재고 534,306,2754.0,2500000282645,뉴질랜드 제스프리 썬골드키위 2.1kg,,,,,,,1224.0,,
248370,노브랜드,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,57,214.0,2000001241097,제스프리골드키위(팩)JUMBO,,,,,,,228.0,28.0,8.142857142857142
248493,홈플러스슈퍼,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,"첫 발주.
실 900g 넘는지 확인 필요",7,26.0,8809048476363,제스프리_점보썬골드키위_5-6입(팩),,,,,,,28.0,28.0,1.0
248495,홈플러스마트,N.Z 키위 골드,44과,골드,캡,44 캡 7,8,0.9,재고 144(비표 수정),128,942.0,8809048473256,제스프리_썬골드키위_7-12입(팩),,,,,,,1024.0,,
248101,에브리데이,N.Z 키위 골드,52과,골드,캡,52 캡 8,6,0.9,,51,272.0,2500000216244,(NZ)골드키위(팩),,,,,,,306.0,28.0,10.928571428571429
248496,홈플러스슈퍼,N.Z 키위 골드,52과,골드,캡,52 캡 8,4,0.9,,56,199.0,8801483116101,제스프리썬골드키위_7-10입(팩),,,,,,,224.0,28.0,8.0
248389,이마트,N.Z 키위 골드,59과,골드,봉지,59 봉 2,10,0.2,52과로 작업 진행,23,46.0,2500000224164,제스프리 썬골드키위 2입/봉,,,,,,,230.0,28.0,8.214285714285714
248272,이마트,N.Z 키위 골드,41과,골드,캡,41 캡 8,8,1.1,,318,2875.0,2500000070020,제스프리 썬골드키위/팩,,,,,,,2544.0,28.0,90.85714285714286
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6,2.2,재고 177,50,666.0,2500000191046,미국산 레몬 15-19입/봉,,,,,,,300.0,,
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6,0.2,,19,27.0,8801483219314,미국산레몬2입/봉,,,,,,,114.0,10.0,11.4
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1,4.0,재고 476,96,384.0,2500000337727,이스라엘 자몽 7-11입/박스,,,,,,,96.0,15.0,6.4
297453,트레이더스,아보카도,18과,페루,봉지,18 봉 8,6,1.8,재고 90,46,491.0,2500000284892,페루산 아보카도 7-9입,,,,,,,276.0,,
297473,롯데슈퍼,아보카도,20과,페루,봉지,20 봉 2,8,0.4,,10,32.0,8801483219147,페루산아보카도2입/봉,,,,,,,80.0,10.0,8.0
297415,에브리데이,아보카도,20과,페루,캡,20 캡 5,4,1.0,,49,196.0,2500000257575,(P)아보카도대용량(팩),,,,,,,196.0,10.0,19.6
279044,롯데마트,라임,175과,멕시코,팩,175 팩 3,6,0.3,,15,27.0,8801483021351,멕시코라임3입/팩,,,,,,,90.0,15.0,6.0
279126,롯데슈퍼,라임,175과,멕시코,팩,175 팩 3,4,0.3,,3,4.0,8801483021351,멕시코산라임3입/팩,,,,,,,12.0,15.0,0.8
279129,에브리데이,라임,175과,멕시코,팩,175 팩 3,4,0.3,,11,13.0,2500000091933,라임(3입/팩),,,,,,,44.0,15.0,2.933333333333333
279044,홈플러스슈퍼,라임,175과,멕시코,팩,175 팩 3,3,0.3,,5,5.0,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,15.0,15.0,1.0
279159,트레이더스,라임,175과,멕시코,봉지,175 봉 10,8,1.0,,10,80.0,2500000261244,멕시코산 라임 1kg(봉),,,,,,,80.0,15.0,5.333333333333333
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,7,19.0,2609960000006,멕시코라임(벌크),,,,,,,7.0,15.0,0.4666666666666667
