품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
294708,엠패스트,체리,10,캐나다,캡,10 캡 300g,4,0.3,,10,12,5011668,캐나다산 수입체리팩,,,,,,,40.0,9.0,4.444444444444445
294707,홈플러스마트,체리,10,캐나다,스티로폼박스,10 스티로폼 600g,1,0.6,,448,269,8809640114663,청정체리(캐나다)_600G(박스),,,,,,,448.0,9.0,49.77777777777778
294709,트레이더스,체리,9.5,캐나다,캡,9.5 캡 700g,8,0.7,재고 6,22,123,2500000329098,캐나다산 체리 700g/팩,,,,,,,176.0,9.0,19.55555555555556
272677,트레이더스,오렌지,72과,호주,봉지,72 봉지 13,3,3.3,,370,3608,2500000026485,호주산 오렌지 3kg(봉),,,,,,,1110.0,9.0,123.33333333333331
272625,엠패스트,오렌지,88과,호주,벌크,88과 벌크,1,18.0,,7,126,5014434,호주산 오렌지 88과,,,,,,,7.0,1.0,7.0
295878,에브리데이,망고,14과,태국,팩,16 팩 2,4,0.6,,4,10,8801483541002,망고2입/팩,,,,,,,16.0,15.0,1.0666666666666669
295194,홈플러스슈퍼,망고,24과,필리핀,팩,24 팩 3,4,0.6,,26,64,8801483221508,필리핀망고_3입(팩),,,,,,,104.0,15.0,6.933333333333334
248140,엠패스트,N.Z 키위 골드,41과,골드,벌크,NZ골드 시식,1,5.8,,3,17,12,골드키위 시식,,,,,,,3.0,15.0,0.2
248140,트레이더스,N.Z 키위 골드,41과,골드,벌크,NZ골드 시식,1,5.8,,5,29,12,골드키위 시식,,,,,,,5.0,15.0,0.3333333333333333
241678,엠패스트,N.Z 키위 그린,65과,그린,벌크,NZ그린 시식,1,10.0,,1,10,11,그린키위 시식,,,,,,,1.0,24.0,0.0416666666666666
241678,트레이더스,N.Z 키위 그린,65과,그린,벌크,NZ그린 시식,1,10.0,,1,10,11,그린키위 시식,,,,,,,1.0,24.0,0.0416666666666666
248434,롯데마트,N.Z 키위 골드,31과,골드,팩,31 팩 6,6,1.1,,8,54,430001117832,제스프리자이언트골드키위(6입/팩),,,,,,,48.0,26.0,1.8461538461538465
248370,노브랜드,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,187,703,2000001241097,제스프리골드키위(팩)JUMBO,,,,,,,748.0,26.0,28.76923076923077
2485048,롯데슈퍼,N.Z 키위 골드,37과,골드,팩,37 팩 6,6,0.9,,26,147,8801483775414,제스프리점보골드키위4-6입팩,,,,,,,156.0,26.0,6.0
