품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지,바코드2,진열기간,입수*수량,작업난도,eta
296729,트레이더스,자몽,40과,남아공,소박스,40 소박스 10,1,4.0,재고 149,240,960,2500000096167,남아공 자몽 7-11입/박스,,,,,,,91.0,9.0,10.11111111111111
112145,홈플러스마트,일반 고구마(하계),중,국내산,봉지,중 봉지 1kg,8,1.0,,18,144,8807839013162,한입고구마_1KG(봉),,,,,,,144.0,12.0,12.0
112153,롯데마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,6,48,8801483775322,햇밤고구마(1kg/봉),,,,,,,48.0,12.0,4.0
112115,홈플러스마트,일반 고구마(하계),상,국내산,봉지,상 봉지 1kg,8,1.0,,63,504,8809172890042,고구마_1KG(봉),,,,,,,504.0,12.0,42.0
112120,이마트,일반 고구마(하계),상,국내산,봉지,상 봉지 700g,15,0.7,,52,546,2500000036286,햇 밤고구마(700g/봉),,,,,,,780.0,18.0,43.333333333333336
277096,트레이더스,레몬,140과,칠레,봉지,140 봉 18,6,2.2,예비 109,87,1143,2500000191077,칠레산 레몬 2.1kg/봉,,,,,,,522.0,,
277116,롯데슈퍼,레몬,140과,칠레,봉지,140 봉 2,6,0.2,,56,81,8801483219215,칠레산레몬2입/봉,,,,,,,336.0,12.0,28.0
297426,에브리데이,아보카도,18과,페루,캡,18 캡 5,4,1.1,,13,58,2500000257575,(P)아보카도대용량(팩),,,,,,,52.0,12.0,4.333333333333333
297453,트레이더스,아보카도,18과,페루,봉지,18 봉 8,6,1.8,예비 71,63,673,2500000284892,페루산 아보카도 7-9입,,,,,,,378.0,10.0,37.8
279045,노브랜드,라임,200과,멕시코,팩,200 팩 3,4,0.3,,1,1,8801483021351,라임 (3입/팩),,,,,,,4.0,15.0,0.2666666666666666
279045,롯데마트,라임,200과,멕시코,팩,200 팩 3,6,0.3,,19,30,8801483021351,멕시코라임3입/팩,,,,,,,114.0,15.0,7.6
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4,0.3,,10,10,8801483021351,멕시코산라임3입/팩,,,,,,,40.0,15.0,2.6666666666666665
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4,0.3,,6,6,2500000091933,라임(3입/팩),,,,,,,24.0,15.0,1.6
279160,트레이더스,라임,200과,멕시코,봉지,200 봉 12,8,1.1,,9,76,2500000261244,멕시코산 라임 1kg(봉),,,,,,,72.0,15.0,4.8
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3,0.3,,4,3,8801483021351,상큼한라임(멕시코산)_3입(팩),,,,,,,12.0,15.0,0.8
279192,롯데마트,라임,200과,멕시코,소벌크,200 소벌크 30,1,2.7,,14,38,2609960000006,멕시코라임(벌크),,,,,,,14.0,15.0,0.9333333333333332
248370,노브랜드,N.Z 키위 골드,37과,골드,캡,37 캡 6,4,0.9,,22,83,2000001241097,제스프리골드키위(팩)JUMBO,,,,,,,88.0,26.0,3.3846153846153846
